kumu_id,label,type,subtype,parent,contour,branch,scale,status,tags,description,source_url
prs_msg_ed56d136c0,Левитин Игорь,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_a07b0013b8,Кремлёв Умар,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_87cc2fce59,Кочнев Дмитрий,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_65ea5e5fa2,Рубежной Алексей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_bd9da71fca,Турчак Андрей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_f483ea4439,Зюганов Геннадий,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_bc72686687,Слуцкий Леонид,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_2cae3e743b,Миронов Сергей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_77523e0fa4,Нечаев Алексей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_07e84a0c26,Явлинский Григорий,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_876c120e06,Сокол Сергей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_0ec92e4189,Коновалов Валентин,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_41928ac17c,Гладков Вячеслав,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_6d83dd94ab,Филимонов Георгий,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_33b6aba646,Мордашов Алексей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_cf154367aa,Мильская Елена,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_97c78150a4,Суровикин Сергей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_8cb1c04c25,Аверьянов Андрей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_d45135ff9c,Евкуров Юнус-Бек,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_d7471af42d,Мартынов Данил,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_2eb4928381,Алаудинов Апти,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_12ca299999,Чалаев ,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_44e85ab3ef,Цивилёва Анна,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_3699e5f379,Чуприян Александр,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_ab569535d0,Навальный Алексей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_dec6b82bc6,Кара-Мурза Владимир,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_bb49030705,Яшин Илья,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_06479db4a0,Собчак Ксения,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_6a70bd3d55,Пономарёв Илья,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_83b5ed7dc5,Невзоров Александр,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_82ad2dc7d1,Ходорковский Михаил,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_8be462ad7c,Кац Максим,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_7d43122a33,Тимченко Галина,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_c764f6b5b6,Синдеева Наталья,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_f8d0e23fbf,Тимакова Наталья,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_637f67c1c8,Курников Вадим,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_0345dba93f,Шульман Екатерина,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_e766163509,Муратов Дмитрий,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_6b22c9f90a,Плющев Александр,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_829afdc736,Фельгенгауэр Татьяна,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_3a8d01a244,Филиппенко Александр,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_31fdc9a8ff,Наки Майкл,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_a23ceff572,Смирнов ,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_e41a160dc3,Трудолюбов Максим,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_621abe278c,Фейгин Марк,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_0cdf655989,Ларина Ксения,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_b836cedd5d,Тихановская Светлана,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_de4b1a416d,Фридман Михаил,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_845eec839e,Ярош Дмитрий,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_4408018f00,Феоктистов Олег,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_664ff9c707,Черкесов Виктор,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_46c556c4bf,Пугачёв Сергей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_0ea65ea0ff,Вороненков Денис,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_01c80b7ee2,Зиничев Евгений,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_3815327e14,Ролдугин Сергей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_fc8a7ceed1,Кабаева Алина,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_e20edfaef8,Чубайс Анатолий,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_ea6158da32,Надеждин Борис,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_88621f2a28,Шлосберг Лев,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_2b69bd675e,Вишневский Борис,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_44de9b8869,Богомаз Александр,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_a71c110279,Лукашенко Александр,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_d7a20a19e5,Лукашенко Виктор,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_0b6014e269,Ковальчук Юрий,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_3d282ad417,Дмитриев Кирилл,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_8f41d037fb,Иванов Сергей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_d4423c1bef,Иванов Андрей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_db44d4af5c,Иванов Тимур,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_36adb2bdca,Попов Иван,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_f5a94cdba1,Мединский Владимир,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_8c8ade8703,Венедиктов Алексей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
