kumu_id,label,type,subtype,parent,contour,branch,scale,status,tags,description,source_url,layer
org_minvostok,Министерство Российской Федерации по развитию Дальнего Востока и Арктики,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство территориального развития Дальнего Востока и Арктики.,https://government.ru/department/462/,core
org_roscosmos,Государственная корпорация по космической деятельности «Роскосмос»,organization,госкорпорация,,встроенные внешние акторы,корпоративно-экономическая,федеральный,текущий,госкорпорация;встроенные внешние акторы;федеральный;core,"Государственная корпорация космического профиля, связанная с оборонно-технологическим и символическим контуром государства.",https://www.roscosmos.ru/,core
org_accounts_chamber,Счетная палата Российской Федерации,organization,госорган,,воспроизводство и легитимация,контрольная,федеральный,текущий,госорган;воспроизводство и легитимация;федеральный;core,Высший орган внешнего государственного аудита и парламентского финансового контроля.,https://www.consultant.ru/document/cons_doc_LAW_144621/ ; https://ach.gov.ru/,core
org_fts,Федеральная налоговая служба,organization,госорган,,исполнение и принуждение,контрольная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральный орган исполнительной власти по контролю и надзору за соблюдением налогового законодательства.,https://www.nalog.gov.ru/rn77/about_fts/fts/structure_fts/,core
org_treasury,Федеральное казначейство Российской Федерации,organization,госорган,,исполнение и принуждение,контрольная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральный орган исполнительной власти по кассовому обслуживанию исполнения бюджета и бюджетному учету.,https://roskazna.gov.ru/,core
org_rosfinmonitoring,Федеральная служба по финансовому мониторингу,organization,госорган,,исполнение и принуждение,контрольная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральный орган исполнительной власти по противодействию легализации доходов и финансированию терроризма.,https://www.fedsfm.ru/ ; https://www.fedsfm.ru/about/college-members,core
org_dialog,Автономная некоммерческая организация по развитию цифровых проектов в сфере общественных связей и коммуникаций «Диалог»,organization,НКО,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,НКО;встроенные внешние акторы;федеральный;core,"Центр цифровых коммуникаций и медийных проектов, работающий на стыке государства, регионов и публичной сферы.",https://dialog.info/ ; https://dialog.info/v-dialoge-novyj-gendirektor/,core
org_dialog_regions,Автономная некоммерческая организация по развитию цифровых проектов в сфере общественных связей и коммуникаций «Диалог Регионы»,organization,НКО,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,НКО;встроенные внешние акторы;федеральный;core,Ключевой региональный и платформенный оператор цифровой коммуникации органов власти и публичных кампаний.,https://dialog.info/ ; https://dialog.info/320-chasov-ili-19-200-minut-chasov-pryamyh-linij-s-gubernatorami-proshlo-v-2025-godu/,core
org_iri,Автономная некоммерческая организация «Институт развития интернета»,organization,НКО,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,НКО;встроенные внешние акторы;федеральный;core,Институт распределения грантов и поддержки медийного и цифрового контента в государственных приоритетах.,https://xn--h1aax.xn--p1ai/ ; https://xn--h1aax.xn--p1ai/news/itogi-konkursa-debyutnykh-proektov/,core
org_rsv,Автономная некоммерческая организация «Россия — страна возможностей»,organization,НКО,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,НКО;встроенные внешние акторы;федеральный;core,Президентская платформа кадровых и социальных конкурсов и проектов.,https://rsv.ru/about-us/ ; https://rsv.ru/about-us/team/,core
org_national_priorities,Автономная некоммерческая организация «Национальные приоритеты»,organization,НКО,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,НКО;встроенные внешние акторы;федеральный;core,Коммуникационный и аналитический оператор национальных проектов и публичных кампаний развития.,https://xn--80aapampemcchfmo7a3c9ehj.xn--p1ai/ ; https://xn--80aapampemcchfmo7a3c9ehj.xn--p1ai/author/sofiya-malyavina/,core
org_fpg,Фонд президентских грантов,organization,НКО,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,НКО;встроенные внешние акторы;федеральный;core,Оператор конкурсов президентских грантов для НКО и важный канал распределения общественно-политических ресурсов.,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/ ; https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/home/about/coordination-committee,core
org_pfki,Президентский фонд культурных инициатив,organization,НКО,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,НКО;встроенные внешние акторы;федеральный;core,"Оператор грантов и поддержки проектов в сфере культуры, искусства и креативных индустрий.",https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/about ; https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,core
org_tass,Информационное агентство России ТАСС,organization,медиа,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,медиа;встроенные внешние акторы;федеральный;core,Крупнейшее государственное информационное агентство России.,https://tass.ru/ ; https://tass.ru/encyclopedia/person/kondrashov-andrey-olegovich,core
org_vgtrk,Всероссийская государственная телевизионная и радиовещательная компания,organization,медиа,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,медиа;встроенные внешние акторы;федеральный;core,Крупнейший государственный телерадиовещательный холдинг.,https://smotrim.ru/ ; https://digital.gov.ru/news/prosnuvshis-v-yanvare-posle-burnogo-prazdnovaniya-novogo-goda-zritel-uvidel-chto-teper-kanal-rossiya-ne-odin-rossijskaya-gazeta,core
org_ria_sputnik,Международная медиагруппа «Россия сегодня»,organization,медиа,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,медиа;встроенные внешние акторы;федеральный;core,"Государственная медиагруппа, объединяющая РИА Новости, Sputnik и иные медиапроекты.",https://ria.ru/ ; https://roscongress.org/speakers/kiselev-dmitriy/,core
org_rt,Телеканал RT (Russia Today),organization,медиа,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,медиа;встроенные внешние акторы;федеральный;core,Международный государственный телеканал и цифровой медиабренд.,https://www.rt.com/ ; https://roscongress.org/company/rt/,core
org_onf,Общероссийское общественное движение «Народный фронт»,organization,НКО,,встроенные внешние акторы,общественно-публичная,федеральный,текущий,НКО;встроенные внешние акторы;федеральный;core,Широкая общественно-политическая сеть мобилизационного и общественного мониторинга.,https://onf.ru/about/central-executive-committee ; https://onf.ru/contact,core
org_asi,Агентство стратегических инициатив по продвижению новых проектов,organization,НКО,,встроенные внешние акторы,корпоративно-экономическая,федеральный,текущий,НКО;встроенные внешние акторы;федеральный;core,Квази-государственный институт развития и стратегических инициатив.,https://asi.ru/agency/management/general/ ; https://asi.ru/news/207144/,core
sub_ap_domestic,Управление Президента Российской Федерации по внутренней политике,subdivision,управление,org_ap_rf,,,,текущий,управление;координационная,Ключевое политическое подразделение внутри АП.,https://www.kremlin.ru/structure/administration/members,core
sub_ap_state_legal,Государственно-правовое управление Президента Российской Федерации,subdivision,управление,org_ap_rf,,,,текущий,управление;правовая,Правовое сопровождение президентской повестки.,https://www.kremlin.ru/structure/administration,core
sub_gov_apparatus,Аппарат Правительства Российской Федерации,subdivision,аппарат,org_government_rf,,,,текущий,аппарат;координационная,Организационное сопровождение работы Правительства.,https://government.ru/gov/persons/,core
sub_er_general_council,Генеральный совет партии «Единая Россия»,subdivision,комитет,org_united_russia,,,,текущий,комитет;координационная,Руководящий партийный орган между съездами.,https://er.ru/persons/generalnyi-sovet,core
sub_er_presidium,Президиум Генерального совета партии «Единая Россия»,subdivision,комитет,org_united_russia,,,,текущий,комитет;координационная,Узкий руководящий партийный орган.,https://er.ru/persons/prezidium-generalnogo-soveta,core
sub_oprf_presidium,Президиум Общественной палаты Российской Федерации,subdivision,комитет,org_oprf,,,,текущий,комитет;координационная,Руководящий орган внутри Общественной палаты РФ.,https://www.oprf.ru/news/pervoe-zasedanie-prezidiuma-soveta-obshchestvennykh-palat-rf-novyy-sostav-i-preemstvennost-traditsiy,core
sub_ap_public_projects,Управление Президента Российской Федерации по общественным проектам,subdivision,управление,org_ap_rf,,,,текущий,управление;координационная,"Подразделение Администрации Президента, курирующее общественные и символические проекты.",https://www.kremlin.ru/structure/administration/departments ; https://letters.kremlin.ru/news/47957,core
sub_ap_control,Контрольное управление Президента Российской Федерации,subdivision,управление,org_ap_rf,,,,текущий,управление;координационная,Подразделение президентского контроля исполнения поручений и актов.,https://www.kremlin.ru/structure/administration/departments ; https://letters.kremlin.ru/news/48087,core
sub_ap_gov_service,"Управление Президента Российской Федерации по вопросам государственной службы, кадров и противодействия коррупции",subdivision,управление,org_ap_rf,,,,текущий,управление;координационная,Кадровое подразделение Администрации Президента.,https://www.kremlin.ru/structure/administration/departments ; https://www.kremlin.ru/acts/news/71184,core
sub_ap_state_council_support,Управление Президента Российской Федерации по обеспечению деятельности Государственного Совета Российской Федерации,subdivision,управление,org_ap_rf,,,,текущий,управление;координационная,"Подразделение, обеспечивающее деятельность Государственного Совета.",https://www.kremlin.ru/structure/administration/departments ; https://www.kremlin.ru/supplement/5805,core
sub_ap_expert,Экспертное управление Президента Российской Федерации,subdivision,управление,org_ap_rf,,,,текущий,управление;координационная,Подразделение экспертно-аналитического обеспечения.,https://www.kremlin.ru/structure/administration/departments ; https://letters.kremlin.ru/news/47642,core
sub_ap_citizen_appeals,Управление Президента Российской Федерации по работе с обращениями граждан и организаций,subdivision,управление,org_ap_rf,,,,текущий,управление;координационная,"Подразделение, обрабатывающее обращения граждан и организаций.",https://www.kremlin.ru/acts/news/79033 ; https://letters.kremlin.ru/news/by-person/183,core
sub_ap_ict,Управление Президента Российской Федерации по развитию информационно-коммуникационных технологий и инфраструктуры связи,subdivision,управление,org_ap_rf,,,,текущий,управление;координационная,Подразделение цифровой и инфраструктурной координации.,https://www.kremlin.ru/structure/administration/departments ; https://letters.kremlin.ru/news/by-person/320,core
sub_ap_external_policy,Управление Президента Российской Федерации по внешней политике,subdivision,управление,org_ap_rf,,,,текущий,управление;координационная,Подразделение Администрации Президента по внешнеполитическому сопровождению.,https://www.kremlin.ru/structure/administration/departments ; https://letters.kremlin.ru/news/46966,core
sub_ap_science_edu,Управление Президента Российской Федерации по научно-образовательной политике,subdivision,управление,org_ap_rf,,,,текущий,управление;координационная,Подразделение Администрации Президента по научной и образовательной политике.,https://www.kremlin.ru/structure/administration/departments ; https://letters.kremlin.ru/news/by-person/192,core
sub_ap_awards,Управление Президента Российской Федерации по государственным наградам,subdivision,управление,org_ap_rf,,,,текущий,управление;координационная,Подразделение Администрации Президента по государственным наградам.,https://www.kremlin.ru/structure/administration/departments ; https://letters.kremlin.ru/news/by-person/38,core
sub_fsb_central_apparatus,Центральный аппарат ФСБ России,subdivision,аппарат,org_fsb_rf,,,,текущий,аппарат;координационная,Центральный управленческий аппарат ФСБ.,https://www.fsb.ru/fsb/npd/more.htm%21id%3D10343058%40fsbNpa.html,core
sub_fsb_border_service,Пограничная служба ФСБ России,subdivision,служба,org_fsb_rf,,,,текущий,служба;координационная,"Служба ФСБ, отвечающая за охрану государственной границы.",https://ps.fsb.ru/ ; https://www.fsb.ru/fsb/leadership.htm,core
sub_fsb_counterintelligence,Служба контрразведки ФСБ России,subdivision,служба,org_fsb_rf,,,,текущий,служба;координационная,"Одна из ключевых служб ФСБ, связанная с контрразведкой.",https://www.fsb.ru/fsb/npd/more.htm%21id%3D10343058%40fsbNpa.html,core
sub_fsb_constitutional_order,Служба по защите конституционного строя и борьбе с терроризмом ФСБ России,subdivision,служба,org_fsb_rf,,,,текущий,служба;координационная,Служба ФСБ по защите конституционного строя и борьбе с терроризмом.,https://www.fsb.ru/fsb/npd/more.htm%21id%3D10343058%40fsbNpa.html ; https://www.fsb.ru/fsb/npd/more.htm%21id%3D10342802%40fsbNpa.html,core
sub_fsb_economic_security,Служба экономической безопасности ФСБ России,subdivision,служба,org_fsb_rf,,,,текущий,служба;координационная,Служба ФСБ по экономической безопасности.,https://www.fsb.ru/fsb/npd/more.htm%21id%3D10343058%40fsbNpa.html,core
sub_fsb_special_purpose_center,Центр специального назначения ФСБ России,subdivision,центр,org_fsb_rf,,,,текущий,центр;координационная,"Специальное подразделение ФСБ, объединяющее антитеррористические силы специального назначения.",https://www.fsb.ru/fsb/press/message/single.htm%21id%3D10437483%40fsbMessage.html ; https://www.fsb.ru/fsb/supplement.htm,core
sub_onf_exec,Центральный исполком Народного фронта,subdivision,аппарат,org_onf,,,,текущий,аппарат;координационная,Центральный исполнительный орган Народного фронта.,https://onf.ru/about/central-executive-committee ; https://onf.ru/contact,core
sub_pfki_coord_committee,Координационный комитет Президентского фонда культурных инициатив,subdivision,комитет,org_pfki,,,,текущий,комитет;координационная,Орган координации распределения и стратегических решений Президентского фонда культурных инициатив.,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/about,core
